Node Number = 286
Cell Number = 510
1 10 1 11 1
2 1 10 12 2
3 12 2 1 3
4 12 13 2 4
5 13 3 2 5
6 14 3 13 6
7 3 14 4 7
8 14 15 4 8
9 15 5 4 9
10 5 15 16 10
11 5 16 6 11
12 17 6 16 12
13 6 17 7 13
14 17 18 7 14
15 18 8 7 15
16 18 19 8 16
17 8 19 9 17
18 20 9 19 18
19 21 9 20 19
20 22 10 11 20
21 23 10 22 21
22 24 10 23 22
23 12 10 24 23
24 25 12 24 24
25 12 25 13 25
26 26 13 25 26
27 14 13 26 27
28 26 27 14 28
29 15 14 27 29
30 28 15 27 30
31 15 28 16 31
32 28 29 16 32
33 17 16 29 33
34 30 17 29 34
35 18 17 30 35
36 31 18 30 36
37 18 31 19 37
38 19 31 32 38
39 20 19 32 39
40 20 32 33 40
41 34 20 33 41
42 20 34 35 42
43 35 21 20 43
44 22 36 23 44
45 36 37 23 45
46 23 37 24 46
47 24 37 38 47
48 25 24 38 48
49 25 38 39 49
50 25 39 40 50
51 40 26 25 51
52 41 26 40 52
53 41 27 26 53
54 42 27 41 54
55 28 27 42 55
56 43 28 42 56
57 28 43 29 57
58 43 44 29 58
59 30 29 44 59
60 44 45 30 60
61 31 30 45 61
62 46 31 45 62
63 31 46 47 63
64 47 32 31 64
65 47 33 32 65
66 33 47 48 66
67 33 48 49 67
68 49 34 33 68
69 37 36 50 69
70 37 50 51 70
71 51 52 37 71
72 37 52 38 72
73 53 38 52 73
74 53 39 38 74
75 53 54 39 75
76 55 39 54 76
77 39 55 56 77
78 39 56 40 78
79 41 40 56 79
80 57 41 56 80
81 41 57 42 81
82 58 42 57 82
83 58 43 42 83
84 59 43 58 84
85 43 59 44 85
86 60 44 59 86
87 44 60 45 87
88 45 60 61 88
89 45 61 46 89
90 62 46 61 90
91 46 62 63 91
92 46 63 47 92
93 63 64 47 93
94 64 48 47 94
95 48 64 65 95
96 48 65 49 96
97 51 66 52 97
98 67 52 66 98
99 52 67 53 99
100 68 53 67 100
101 68 54 53 101
102 69 54 68 102
103 69 55 54 103
104 70 55 69 104
105 71 55 70 105
106 55 71 56 106
107 57 56 71 107
108 72 57 71 108
109 72 58 57 109
110 73 58 72 110
111 58 73 74 111
112 58 74 59 112
113 75 59 74 113
114 60 59 75 114
115 75 61 60 115
116 76 61 75 116
117 76 62 61 117
118 76 77 62 118
119 77 78 62 119
120 63 62 78 120
121 79 63 78 121
122 64 63 79 122
123 64 79 80 123
124 65 64 80 124
125 67 66 81 125
126 67 81 82 126
127 68 67 82 127
128 83 68 82 128
129 68 83 69 129
130 84 69 83 130
131 84 70 69 131
132 84 85 70 132
133 70 85 86 133
134 86 71 70 134
135 71 86 72 135
136 72 86 87 136
137 87 73 72 137
138 73 87 88 138
139 73 88 74 139
140 74 88 89 140
141 74 89 75 141
142 90 75 89 142
143 75 90 76 143
144 91 76 90 144
145 91 77 76 145
146 91 92 77 146
147 77 92 93 147
148 93 78 77 148
149 78 93 94 149
150 79 78 94 150
151 79 94 95 151
152 80 79 95 152
153 81 96 82 153
154 97 82 96 154
155 97 83 82 155
156 83 97 98 156
157 84 83 98 157
158 99 84 98 158
159 99 85 84 159
160 100 85 99 160
161 101 85 100 161
162 86 85 101 162
163 102 86 101 163
164 87 86 102 164
165 103 87 102 165
166 88 87 103 166
167 104 88 103 167
168 104 89 88 168
169 89 104 90 169
170 104 105 90 170
171 90 105 91 171
172 91 105 106 172
173 106 92 91 173
174 107 92 106 174
175 107 108 92 175
176 93 92 108 176
177 93 108 109 177
178 109 94 93 178
179 94 109 110 179
180 110 95 94 180
181 97 96 111 181
182 112 97 111 182
183 112 98 97 183
184 113 98 112 184
185 113 99 98 185
186 114 99 113 186
187 99 114 100 187
188 114 115 100 188
189 115 116 100 189
190 116 101 100 190
191 117 101 116 191
192 117 102 101 192
193 103 102 117 193
194 118 103 117 194
195 119 103 118 195
196 119 104 103 196
197 120 104 119 197
198 104 120 105 198
199 121 105 120 199
200 121 106 105 200
201 121 122 106 201
202 107 106 122 202
203 122 123 107 203
204 107 123 124 204
205 107 124 108 205
206 124 125 108 206
207 109 108 125 207
208 126 109 125 208
209 110 109 126 209
210 127 112 111 210
211 112 127 128 211
212 113 112 128 212
213 113 128 129 213
214 129 114 113 214
215 130 114 129 215
216 115 114 130 216
217 130 131 115 217
218 131 132 115 218
219 116 115 132 219
220 132 133 116 220
221 116 133 117 221
222 133 118 117 222
223 118 133 134 223
224 134 135 118 224
225 118 135 119 225
226 119 135 120 226
227 136 120 135 227
228 120 136 121 228
229 136 137 121 229
230 121 137 122 230
231 138 122 137 231
232 138 123 122 232
233 138 139 123 233
234 139 140 123 234
235 140 124 123 235
236 124 140 141 236
237 141 125 124 237
238 141 142 125 238
239 142 126 125 239
240 143 128 127 240
241 143 144 128 241
242 129 128 144 242
243 129 144 145 243
244 129 145 130 244
245 130 145 146 245
246 146 131 130 246
247 147 131 146 247
248 131 147 148 248
249 131 148 132 249
250 149 132 148 250
251 132 149 133 251
252 149 134 133 252
253 150 134 149 253
254 134 150 151 254
255 151 135 134 255
256 135 151 136 256
257 136 151 152 257
258 137 136 152 258
259 137 152 153 259
260 153 138 137 260
261 138 153 154 261
262 139 138 154 262
263 155 139 154 263
264 139 155 156 264
265 140 139 156 265
266 157 140 156 266
267 140 157 141 267
268 157 158 141 268
269 142 141 158 269
270 159 144 143 270
271 144 159 160 271
272 144 160 145 272
273 145 160 161 273
274 146 145 161 274
275 146 161 162 275
276 146 162 147 276
277 162 163 147 277
278 164 147 163 278
279 164 148 147 279
280 164 165 148 280
281 165 149 148 281
282 149 165 150 282
283 166 150 165 283
284 167 150 166 284
285 150 167 151 285
286 152 151 167 286
287 168 152 167 287
288 168 153 152 288
289 169 153 168 289
290 153 169 154 290
291 170 154 169 291
292 170 155 154 292
293 171 155 170 293
294 172 155 171 294
295 172 156 155 295
296 172 173 156 296
297 173 157 156 297
298 157 173 174 298
299 174 158 157 299
300 159 175 160 300
301 160 175 176 301
302 160 176 161 302
303 177 161 176 303
304 162 161 177 304
305 178 162 177 305
306 162 178 163 306
307 163 178 179 307
308 163 179 180 308
309 180 164 163 309
310 164 180 181 310
311 165 164 181 311
312 166 165 181 312
313 182 166 181 313
314 166 182 183 314
315 183 167 166 315
316 167 183 168 316
317 168 183 184 317
318 184 169 168 318
319 184 185 169 319
320 170 169 185 320
321 186 170 185 321
322 170 186 171 322
323 187 171 186 323
324 187 188 171 324
325 188 172 171 325
326 188 189 172 326
327 173 172 189 327
328 190 173 189 328
329 190 174 173 329
330 176 175 191 330
331 192 176 191 331
332 176 192 177 332
333 192 193 177 333
334 193 178 177 334
335 178 193 194 335
336 178 194 179 336
337 195 179 194 337
338 179 195 196 338
339 196 180 179 339
340 180 196 197 340
341 197 181 180 341
342 197 182 181 342
343 182 197 198 343
344 198 199 182 344
345 199 183 182 345
346 199 184 183 346
347 199 200 184 347
348 184 200 185 348
349 200 201 185 349
350 201 186 185 350
351 202 186 201 351
352 202 187 186 352
353 203 187 202 353
354 204 187 203 354
355 204 188 187 355
356 204 205 188 356
357 205 189 188 357
358 189 205 206 358
359 206 190 189 359
360 207 192 191 360
361 192 207 208 361
362 192 208 193 362
363 209 193 208 363
364 209 194 193 364
365 210 194 209 365
366 194 210 195 366
367 211 195 210 367
368 195 211 212 368
369 212 196 195 369
370 213 196 212 370
371 213 197 196 371
372 197 213 198 372
373 214 198 213 373
374 199 198 214 374
375 214 215 199 375
376 199 215 200 376
377 216 200 215 377
378 216 201 200 378
379 217 201 216 379
380 202 201 217 380
381 202 217 203 381
382 203 217 218 382
383 219 203 218 383
384 219 204 203 384
385 220 204 219 385
386 220 205 204 386
387 205 220 221 387
388 221 206 205 388
389 208 207 222 389
390 208 222 223 390
391 209 208 223 391
392 224 209 223 392
393 209 224 210 393
394 225 210 224 394
395 210 225 211 395
396 225 226 211 396
397 211 226 227 397
398 227 212 211 398
399 227 228 212 399
400 229 212 228 400
401 213 212 229 401
402 214 213 229 402
403 229 230 214 403
404 214 230 215 404
405 231 215 230 405
406 231 216 215 406
407 232 216 231 407
408 217 216 232 408
409 233 217 232 409
410 217 233 218 410
411 234 218 233 411
412 218 234 235 412
413 235 219 218 413
414 235 236 219 414
415 220 219 236 415
416 220 236 237 416
417 221 220 237 417
418 222 238 223 418
419 239 223 238 419
420 239 224 223 420
421 239 240 224 421
422 225 224 240 422
423 241 225 240 423
